2014 Rank,Girls,GBirths,(2013 Rank),2014 Rank,Boys,BBirths,(2013 Rank)
1,Emma,20799,2,1,Noah,19144,1
2,Olivia,19674,3,2,Liam,18342,2
3,Sophia,18490,1,3,Mason,17092,4
4,Isabella,16950,4,4,Jacob,16712,3
5,Ava,15586,5,5,William,16687,5
6,Mia,13442,6,6,Ethan,15619,6
7,Emily,12562,7,7,Michael,15323,7
8,Abigail,11985,8,8,Alexander,15293,8
9,Madison,10247,9,9,James,14301,13
10,Charlotte,10048,11,10,Daniel,13829,10
11,Harper,9564,16,11,Elijah,13694,11
12,Sofia,9542,13,12,Benjamin,13687,14
13,Avery,9517,12,13,Logan,13579,17
14,Elizabeth,9492,10,14,Aiden,13296,12
15,Amelia,8727,17,15,Jayden,12878,9
16,Evelyn,8692,20,16,Matthew,12809,15
17,Ella,8489,15,17,Jackson,12121,16
18,Chloe,8469,14,18,David,12078,18
19,Victoria,7955,25,19,Lucas,12078,23
20,Aubrey,7589,18,20,Joseph,11995,20
21,Grace,7554,22,21,Anthony,11490,19
22,Zoey,7358,24,22,Andrew,11069,22
23,Natalie,7061,21,23,Samuel,10859,25
24,Addison,6950,19,24,Gabriel,10826,24
25,Lillian,6869,26,25,Joshua,10764,21
26,Brooklyn,6767,28,26,John,10600,27
27,Lily,6727,27,27,Carter,10599,32
28,Hannah,6512,23,28,Luke,10431,34
29,Layla,6428,30,29,Dylan,10350,28
30,Scarlett,5965,42,30,Christopher,10278,26
31,Aria,5893,40,31,Isaac,9868,29
32,Zoe,5828,31,32,Oliver,9365,52
33,Samantha,5680,29,33,Henry,9350,37
34,Anna,5639,35,34,Sebastian,9237,45
35,Leah,5563,33,35,Caleb,9143,33
36,Audrey,5531,32,36,Owen,9100,38
37,Ariana,5461,54,37,Ryan,9026,30
38,Allison,5440,34,38,Nathan,8902,31
39,Savannah,5433,37,39,Wyatt,8812,41
40,Arianna,5240,44,40,Hunter,8759,36
41,Camila,5194,39,41,Jack,8685,40
42,Penelope,5062,56,42,Christian,8388,35
43,Gabriella,5051,38,43,Landon,8180,39
44,Claire,4991,49,44,Jonathan,8035,42
45,Aaliyah,4850,36,45,Levi,7958,50
46,Sadie,4823,50,46,Jaxon,7635,46
47,Riley,4761,45,47,Julian,7611,47
48,Skylar,4732,73,48,Isaiah,7530,44
49,Nora,4708,83,49,Eli,7428,43
50,Sarah,4647,48,50,Aaron,7334,51
51,Hailey,4595,43,51,Charles,7269,57
52,Kaylee,4513,41,52,Connor,7195,56
53,Paisley,4473,80,53,Cameron,7013,59
54,Kennedy,4459,64,54,Thomas,6972,61
55,Ellie,4442,74,55,Jordan,6810,53
56,Peyton,4426,51,56,Jeremiah,6780,58
57,Annabelle,4324,81,57,Nicholas,6713,54
58,Caroline,4307,63,58,Evan,6667,55
59,Madelyn,4289,68,59,Adrian,6659,60
60,Serenity,4284,53,60,Gavin,6582,49
61,Aubree,4258,52,61,Robert,6572,62
62,Lucy,4257,66,62,Brayden,6539,48
